Dates,"Capcom Co., Ltd. (TSE:9697) - Volume","Capcom Co., Ltd. (TSE:9697) - Share Pricing",Annotation,Announced/Completed Transactions,Company Forecasts and Ratings,Bankruptcy Updates,Corporate Structure Related,Dividends/Splits,Listing/Trading Related,Potential Transactions,Transaction Updates,Potential Red Flags/Distress Indicators,Investor Activism,Insider Trades,Results Announcements/Corporate Communications,Annotation
Jan-23-2024,2.42mm,2819.00,,,,,,,,,,,,,,
Jan-24-2024,2.72mm,2774.50,,,,,,,,,,,,,,
Jan-25-2024,1.64mm,2786.50,,,,,,,,,,,,,,
Jan-26-2024,1.54mm,2752.50,,,,,,,,,,,,,,
Jan-29-2024,1.48mm,2766.50,,,,,,,,,,,,,,
Jan-30-2024,1.96mm,2781.50,,,,,,,,,,,,,,
Jan-31-2024,2.71mm,2822.50,,,,,,,,,,,,,2822.5,
Feb-01-2024,6.22mm,2758.00,,,,,,,,,,,,,2758,
Feb-02-2024,5.45mm,2878.00,,,,,,,,,,,,,,
Feb-05-2024,2.03mm,2841.00,,,,,,,,,,,,,,
Feb-06-2024,1.96mm,2855.00,,,,,,,,,,,,,,
Feb-07-2024,1.66mm,2817.00,,,,,,,,,,,,,,
Feb-08-2024,2.21mm,2839.50,,,,,,,,,,,,,,
Feb-09-2024,1.15mm,2821.50,,,,,,,,,,,,,,
Feb-13-2024,1.35mm,2868.50,,,,,,,,,,,,,,
Feb-14-2024,1.98mm,2942.50,,,,,,,,,,,,,,
Feb-15-2024,1.52mm,2980.50,,,,,,,,,,,,,,
Feb-16-2024,1.85mm,2990.00,,,,,,,,,,,,,,
Feb-19-2024,1.23mm,2915.00,,,,,,,,,,,,,,
Feb-20-2024,1.31mm,2938.50,,,,,,,,,,,,,,
Feb-21-2024,1.40mm,2989.00,,,,,,,,,,,,,,
Feb-22-2024,1.22mm,2979.00,,,,,,,,,,,,,,
Feb-26-2024,1.38mm,2975.00,,,,,,,,,,,,,,
Feb-27-2024,1.90mm,3005.50,,,,,,,,,,,,,,
Feb-28-2024,1.58mm,3007.50,,,,,,,,,,,,,,
Feb-29-2024,2.58mm,3014.50,,,,,,,,,,,,,,
Mar-01-2024,.95mm,3025.00,,,,,,,,,,,,,,
Mar-04-2024,1.11mm,2986.00,,,,,,,,,,,,,,
Mar-05-2024,1.13mm,2981.00,,,,,,,,,,,,,,
Mar-06-2024,1.98mm,2983.00,,,,,,,,,,,,,,
Mar-07-2024,4.72mm,3084.00,,,,,,,,,,,,,,
Mar-08-2024,2.03mm,3017.50,,,,,,,,,,,,,,
Mar-11-2024,1.68mm,3066.00,,,,,,,,,,,,,,
Mar-12-2024,1.80mm,3056.50,,,,,,,,,,,,,,
Mar-13-2024,1.88mm,2976.00,,,,,,,,,,,,,,
Mar-14-2024,2.14mm,3014.50,,,,,,,,,,,,,,
Mar-15-2024,2.26mm,2968.00,,,,,,,,,,,,,,
Mar-18-2024,2.57mm,3072.00,,,,,,,,,,,,,3072,
Mar-19-2024,1.33mm,3123.00,,,,,,,,,,,,,,
Mar-21-2024,2.41mm,3091.50,,,,,,,,,,,,,,
Mar-22-2024,3.01mm,3194.00,,,,,,,,,,,,,,
Mar-25-2024,3.73mm,3010.50,,,,,,,,,,,,,,
Mar-26-2024,2.63mm,2965.50,,,,,,,,,,,,,,
Mar-27-2024,2.45mm,2963.00,,,,,,,,,,,,,,
Mar-28-2024,2.17mm,2826.00,,,,,,2826,,,,,,,,
Mar-29-2024,2.38mm,2795.00,,,,,,,,,,,,,,
Apr-01-2024,1.67mm,2800.00,,,,,,,,,,,,,,
Apr-02-2024,2.74mm,2729.50,,,,,,,,,,,,,,
Apr-03-2024,4.32mm,2760.00,,,,,,,,,,,,,,
Apr-04-2024,1.75mm,2733.00,,,,,,,,,,,,,,
Apr-05-2024,1.51mm,2722.00,,,,,,,,,,,,,,
Apr-08-2024,1.18mm,2734.50,,,,,,,,,,,,,,
Apr-09-2024,1.88mm,2704.00,,,,,,,,,,,,,,
Apr-10-2024,1.63mm,2664.00,,,,,,,,,,,,,,
Apr-11-2024,1.97mm,2653.50,,,,,,,,,,,,,,
Apr-12-2024,2.17mm,2676.00,,,,,,,,,,,,,,
Apr-15-2024,2.07mm,2640.50,,,,,,,,,,,,,,
Apr-16-2024,1.57mm,2642.50,,,,,,,,,,,,,,
Apr-17-2024,1.56mm,2598.00,,,,,,,,,,,,,,
Apr-18-2024,1.38mm,2616.00,,,,,,,,,,,,,,
Apr-19-2024,3.96mm,2487.50,,,,,,,,,,,,,,
Apr-22-2024,1.71mm,2509.50,,,,,,,,,,,,,,
Apr-23-2024,1.56mm,2484.50,,,,,,,,,,,,,,
Apr-24-2024,1.87mm,2562.50,,,,,,,,,,,,,,
Apr-25-2024,3.47mm,2622.50,,,,,,,,,,,,,,
Apr-26-2024,2.20mm,2619.50,,,,,,,,,,,,,,
Apr-30-2024,1.90mm,2621.50,,,,,,,,,,,,,,
May-01-2024,1.49mm,2605.00,,,,,,,,,,,,,,
May-02-2024,1.15mm,2594.00,,,,,,,,,,,,,,
May-07-2024,2.01mm,2669.50,,,,,,,,,,,,,,
May-08-2024,1.31mm,2595.00,,,,,,,,,,,,,,
May-09-2024,1.76mm,2645.50,,,,,,,,,,,,,2645.5,
May-10-2024,3.66mm,2669.50,,,,,,,,,,,,,2669.5,
May-13-2024,1.76mm,2658.50,,,,,,,,,,,,,2658.5,
May-14-2024,1.89mm,2731.00,,,,,,,,,,,,,,
May-15-2024,1.30mm,2675.00,,,,,,,,,,,,,,
May-16-2024,1.89mm,2757.00,,,,,,,,,,,,,,
May-17-2024,1.72mm,2739.50,,,,,,,,,,,,,,
May-20-2024,1.02mm,2729.50,,,,,,,,,,,,,,
May-21-2024,1.07mm,2687.00,,,,,,,,,,,,,,
May-22-2024,1.23mm,2652.00,,,,,,,,,,,,,,
May-23-2024,1.26mm,2690.50,,,,,,,,,,,,,,
May-24-2024,1.10mm,2698.00,,,,,,,,,,,,,,
May-27-2024,1.28mm,2716.50,,,,,,,,,,,,,,
May-28-2024,1.03mm,2683.00,,,,,,,,,,,,,,
May-29-2024,1.63mm,2730.00,,,,,,,,,,,,,,
May-30-2024,2.39mm,2790.50,,,,,,,,,,,,,,
May-31-2024,4.55mm,2900.00,,,,,,,,,,,,,,
Jun-03-2024,2.71mm,2972.00,,,,,,,,,,,,,,
Jun-04-2024,2.81mm,3021.00,,,,,,,,,,,,,,
Jun-05-2024,2.51mm,3060.00,,,,,,,,,,,,,,
Jun-06-2024,2.00mm,3010.00,,,,,,,,,,,,,,
Jun-07-2024,1.22mm,3000.00,,,,,,,,,,,,,,
Jun-10-2024,1.53mm,2976.50,,,,,,,,,,,,,,
Jun-11-2024,2.10mm,2915.00,,,,,,,,,,,,,,
Jun-12-2024,2.26mm,2832.50,,,,,,,,,,,,,,
Jun-13-2024,1.69mm,2845.00,,,,,,,,,,,,,,
Jun-14-2024,2.08mm,2876.50,,,,,,,,,,,,,,
Jun-17-2024,.99mm,2857.50,,,,,,,,,,,,,,
Jun-18-2024,1.25mm,2894.50,,,,,,,,,,,,,,
Jun-19-2024,1.03mm,2907.00,,,,,,,,,,,,,,
Jun-20-2024,1.44mm,2930.00,,,,,,,,,,,,,2930,
Jun-21-2024,1.77mm,2915.00,,,,,,,,,,,,,,
Jun-24-2024,1.16mm,2941.50,,,,,,,,,,,,,,
Jun-25-2024,1.88mm,3029.00,,,,,,,,,,,,,,
Jun-26-2024,2.10mm,3055.00,,,,,,,,,,,,,,
Jun-27-2024,1.38mm,3036.00,,,,,,,,,,,,,,
Jun-28-2024,1.46mm,3033.00,,,,,,,,,,,,,,
Jul-01-2024,.80mm,3032.00,,3032,,,,,,,,,,,,
Jul-02-2024,1.35mm,3098.00,,,,,,,,,,,,,,
Jul-03-2024,.99mm,3095.00,,,,,,,,,,,,,,
Jul-04-2024,.77mm,3081.00,,,,,,,,,,,,,,
Jul-05-2024,2.01mm,3108.00,,,,,,,,,,,,,,
Jul-08-2024,1.28mm,3141.00,,,,,,,,,,,,,,
Jul-09-2024,1.36mm,3228.00,,,,,,,,,,,,,,
Jul-10-2024,1.44mm,3218.00,,,,,,,,,,,,,,
Jul-11-2024,1.59mm,3297.00,,,,,,,,,,,,,,
Jul-12-2024,1.27mm,3276.00,,,,,,,,,,,,,,
Jul-16-2024,1.44mm,3305.00,,,,,,,,,,,,,,
Jul-17-2024,1.34mm,3284.00,,,,,,,,,,,,,,
Jul-18-2024,1.14mm,3206.00,,,,,,,,,,,,,,
Jul-19-2024,1.45mm,3174.00,,,,,,,,,,,,,,
Jul-22-2024,1.28mm,3114.00,,,,,,,,,,,,,,
Jul-23-2024,1.01mm,3115.00,,,,,,,,,,,,,,
Jul-24-2024,1.15mm,3108.00,,,,,,,,,,,,,,
Jul-25-2024,2.09mm,2990.00,,,,,,,,,,,,,,
Jul-26-2024,1.43mm,2968.00,,,,,,,,,,,,,,
Jul-29-2024,2.06mm,3132.00,,,,,,,,,,,,,3132,
Jul-30-2024,3.63mm,3152.00,,,,,,,,,,,,,,
Jul-31-2024,1.93mm,3202.00,,,,,,,,,,,,,,
Aug-01-2024,1.34mm,3048.00,,,,,,,,,,,,,,
Aug-02-2024,1.81mm,2848.50,,,,,,,,,,,,,,
Aug-05-2024,2.79mm,2356.00,,,,,,,,,,,,,,
Aug-06-2024,4.28mm,2790.00,,,,,,,,,,,,,,
Aug-07-2024,2.21mm,2836.50,,,,,,,,,,,,,,
Aug-08-2024,1.52mm,2807.00,,,,,,,,,,,,,,
Aug-09-2024,1.75mm,2900.00,,,,,,,,,,,,,,
Aug-13-2024,1.24mm,2956.00,,,,,,,,,,,,,,
Aug-14-2024,1.14mm,2982.00,,,,,,,,,,,,,,
Aug-15-2024,1.29mm,2982.50,,,,,,,,,,,,,,
Aug-16-2024,.98mm,3053.00,,,,,,,,,,,,,,
Aug-19-2024,1.75mm,3080.00,,,,,,,,,,,,,,
Aug-20-2024,1.36mm,3125.00,,,,,,,,,,,,,,
Aug-21-2024,.89mm,3168.00,,,,,,,,,,,,,,
Aug-22-2024,.85mm,3181.00,,,,,,,,,,,,,,
Aug-23-2024,2.70mm,3069.00,,,,,,,,,,,,,,
Aug-26-2024,2.25mm,3063.00,,,,,,,,,,,,,,
Aug-27-2024,1.20mm,3064.00,,,,,,,,,,,,,,
Aug-28-2024,1.22mm,3141.00,,,,,,,,,,,,,,
Aug-29-2024,.92mm,3103.00,,,,,,,,,,,,,,
Aug-30-2024,1.65mm,3173.00,,,,,,,,,,,,,,
Sep-02-2024,1.14mm,3204.00,,,,,,,,,,,,,,
Sep-03-2024,.99mm,3274.00,,,,,,,,,,,,,,
Sep-04-2024,1.46mm,3166.00,,,,,,,,,,,,,,
Sep-05-2024,1.33mm,3180.00,,,,,,,,,,,,,,
Sep-06-2024,1.73mm,3243.00,,,,,,,,,,,,,,
Sep-09-2024,1.10mm,3231.00,,,,,,,,,,,,,,
Sep-10-2024,1.58mm,3319.00,,,,,,,,,,,,,,
Sep-11-2024,1.69mm,3215.00,,,,,,,,,,,,,,
Sep-12-2024,1.47mm,3343.00,,,,,,,,,,,,,,
Sep-13-2024,1.66mm,3221.00,,,,,,,,,,,,,,
Sep-17-2024,1.27mm,3226.00,,,,,,,,,,,,,,
Sep-18-2024,1.10mm,3206.00,,,,,,,,,,,,,,
Sep-19-2024,1.07mm,3269.00,,,,,,,,,,,,,,
Sep-20-2024,2.01mm,3301.00,,,,,,,,,,,,,,
Sep-24-2024,1.42mm,3351.00,,,,,,,,,,,,,,
Sep-25-2024,1.65mm,3302.00,,,,,,,,,,,,,,
Sep-26-2024,2.05mm,3421.00,,,,,,,,,,,,,,
Sep-27-2024,1.60mm,3455.00,,,,,,3455,,,,,,,,
Sep-30-2024,2.20mm,3328.00,,,,,,,,,,,,,,
Oct-01-2024,1.27mm,3348.00,,,,,,,,,,,,,,
Oct-02-2024,1.41mm,3259.00,,,,,,,,,,,,,,
Oct-03-2024,1.06mm,3335.00,,,,,,,,,,,,,,
Oct-04-2024,1.37mm,3285.00,,,,,,,,,,,,,,
Oct-07-2024,1.69mm,3350.00,,,,,,,,,,,,,,
Oct-08-2024,2.51mm,3251.00,,,,,,,,,,,,,,
Oct-09-2024,1.77mm,3222.00,,,,,,,,,,,,,,
Oct-10-2024,1.21mm,3198.00,,,,,,,,,,,,,,
Oct-11-2024,1.18mm,3218.00,,,,,,,,,,,,,,
Oct-15-2024,1.08mm,3255.00,,,,,,,,,,,,,,
Oct-16-2024,1.05mm,3217.00,,,,,,,,,,,,,,
Oct-17-2024,1.12mm,3250.00,,,,,,,,,,,,,,
Oct-18-2024,.69mm,3238.00,,,,,,,,,,,,,,
Oct-21-2024,.68mm,3278.00,,,,,,,,,,,,,,
Oct-22-2024,.89mm,3242.00,,,,,,,,,,,,,,
Oct-23-2024,.73mm,3208.00,,,,,,,,,,,,,,
Oct-24-2024,.88mm,3235.00,,,,,,,,,,,,,,
Oct-25-2024,.77mm,3193.00,,,,,,,,,,,,,,
Oct-28-2024,1.64mm,3325.00,,,,,,,,,,,,,,
Oct-29-2024,2.31mm,3322.00,,,,,,,,,,,,,3322,
Oct-30-2024,8.90mm,3141.00,,,,,,,,,,,,,,
Oct-31-2024,4.16mm,3062.00,,,,,,,,,,,,,,
Nov-01-2024,2.15mm,3039.00,,,,,,,,,,,,,3039,
Nov-05-2024,1.95mm,3112.00,,,,,,,,,,,,,,
Nov-06-2024,2.50mm,3157.00,,,,,,,,,,,,,,
Nov-07-2024,1.67mm,3102.00,,,,,,,,,,,,,,
Nov-08-2024,2.00mm,3237.00,,,,,,,,,,,,,,
Nov-11-2024,1.65mm,3307.00,,,,,,,,,,,,,,
Nov-12-2024,1.45mm,3241.00,,,,,,,,,,,,,,
Nov-13-2024,3.19mm,3440.00,,,,,,,,,,,,,,
Nov-14-2024,2.70mm,3544.00,,,,,,,,,,,,,,
Nov-15-2024,3.08mm,3578.00,,,,,,,,,,,,,,
Nov-18-2024,2.01mm,3468.00,,,,,,,,,,,,,,
Nov-19-2024,3.76mm,3332.00,,,,,,,,,,,,,,
Nov-20-2024,2.00mm,3382.00,,,,,,,,,,,,,,
Nov-21-2024,1.81mm,3402.00,,,,,,,,,,,,,,
Nov-22-2024,1.03mm,3407.00,,,,,,,,,,,,,,
Nov-25-2024,1.92mm,3439.00,,,,,,,,,,,,,,
Nov-26-2024,1.47mm,3410.00,,,,,,,,,,,,,,
Nov-27-2024,1.11mm,3473.00,,,,,,,,,,,,,,
Nov-28-2024,.75mm,3519.00,,,,,,,,,,,,,,
Nov-29-2024,.85mm,3506.00,,,,,,,,,,,,,,
Dec-02-2024,.87mm,3510.00,,,,,,,,,,,,,,
Dec-03-2024,1.01mm,3518.00,,,,,,,,,,,,,,
Dec-04-2024,1.09mm,3548.00,,,,,,,,,,,,,,
Dec-05-2024,1.61mm,3551.00,,,,,,,,,,,,,,
Dec-06-2024,1.14mm,3490.00,,,,,,,,,,,,,,
Dec-09-2024,.99mm,3499.00,,,,,,,,,,,,,,
Dec-10-2024,2.00mm,3535.00,,,,,,,,,,,,,,
Dec-11-2024,1.08mm,3539.00,,,,,,,,,,,,,,
Dec-12-2024,1.19mm,3578.00,,,,,,,,,,,,,,
Dec-13-2024,2.47mm,3444.00,,,,,,,,,,,,,,
Dec-16-2024,1.70mm,3438.00,,,,,,,,,,,,,,
Dec-17-2024,1.49mm,3518.00,,,,,,,,,,,,,,
Dec-18-2024,1.59mm,3433.00,,,,,,,,,,,,,,
Dec-19-2024,1.13mm,3437.00,,,,,,,,,,,,,,
Dec-20-2024,1.31mm,3401.00,,,,,,,,,,,,,,
Dec-23-2024,.74mm,3415.00,,,,,,,,,,,,,,
Dec-24-2024,.56mm,3431.00,,,,,,,,,,,,,,
Dec-25-2024,.66mm,3404.00,,,,,,,,,,,,,,
Dec-26-2024,.72mm,3420.00,,,,,,,,,,,,,,
Dec-27-2024,.89mm,3487.00,,,,,,,,,,,,,,
Dec-30-2024,.97mm,3474.00,,,,,,,,,,,,,,
Jan-06-2025,1.33mm,3371.00,,,,,,,,,,,,,,
Jan-07-2025,.87mm,3398.00,,,,,,,,,,,,,,
Jan-08-2025,1.29mm,3378.00,,,,,,,,,,,,,,
Jan-09-2025,1.05mm,3368.00,,,,,,,,,,,,,,
Jan-10-2025,.75mm,3337.00,,,,,,,,,,,,,,
Jan-14-2025,1.19mm,3292.00,,,,,,,,,,,,,,
Jan-15-2025,1.29mm,3357.00,,,,,,,,,,,,,,
Jan-16-2025,.98mm,3346.00,,,,,,,,,,,,,,
Jan-17-2025,1.36mm,3280.00,,,,,,,,,,,,,,
Jan-20-2025,.76mm,3283.00,,,,,,,,,,,,,,
Jan-21-2025,1.06mm,3307.00,,,,,,,,,,,,,,
Jan-22-2025,1.20mm,3290.00,,,,,,,,,,,,,,
Jan-23-2025,1.55mm,3308.00,,,,,,,,,,,,,,
Jan-24-2025,1.85mm,3407.00,,,,,,,,,,,,,,
Jan-27-2025,1.38mm,3360.00,,,,,,,,,,,,,,
Jan-28-2025,1.86mm,3481.00,,,,,,,,,,,,,,
Jan-29-2025,1.81mm,3433.00,,,,,,,,,,,,,3433,
Jan-30-2025,3.98mm,3590.00,,,,,,,,,,,,,,
Jan-31-2025,1.77mm,3557.00,,,,,,,,,,,,,3557,
Feb-03-2025,2.19mm,3569.00,,,,,,,,,,,,,,
Feb-04-2025,1.98mm,3630.00,,,,,,,,,,,,,,
Feb-05-2025,2.47mm,3740.00,,,,,,,,,,,,,,
Feb-06-2025,2.86mm,3896.00,,,,,,,,,,,,,,
Feb-07-2025,2.49mm,3784.00,,,,,,,,,,,,,,
Feb-10-2025,1.48mm,3819.00,,,,,,,,,,,,,,
Feb-12-2025,1.96mm,3836.00,,,,,,,,,,,,,,
Feb-13-2025,1.86mm,3815.00,,,,,,,,,,,,,,
Feb-14-2025,1.22mm,3825.00,,,,,,,,,,,,,,
Feb-17-2025,1.23mm,3822.00,,,,,,,,,,,,,,
Feb-18-2025,1.85mm,3892.00,,,,,,,,,,,,,,
Feb-19-2025,1.73mm,3913.00,,,,,,,,,,,,,,
Feb-20-2025,1.61mm,3882.00,,,,,,,,,,,,,,
Feb-21-2025,3.88mm,4081.00,,,,,,,,,,,,,,
Feb-25-2025,3.72mm,3968.00,,,,,,,,,,,,,,
Feb-26-2025,4.50mm,3723.00,,,,,,,,,,,,,,
Feb-27-2025,2.61mm,3732.00,,,,,,,,,,,,,,
Feb-28-2025,3.90mm,3701.00,,,,,,,,,,,,,,
Mar-03-2025,5.09mm,3802.00,,,,,,,,,,,,,,
Mar-04-2025,3.34mm,3765.00,,,,,,,,,,,,,,
Mar-05-2025,6.14mm,3650.00,,,,,,,,,,,,,,
Mar-06-2025,3.27mm,3693.00,,,,,,,,,,,,,,
Mar-07-2025,3.20mm,3520.00,,,,,,,,,,,,,,
Mar-10-2025,3.75mm,3436.00,,,,,,,,,,,,,,
Mar-11-2025,3.85mm,3411.00,,,,,,,,,,,,,,
Mar-12-2025,2.30mm,3435.00,,,,,,,,,,,,,,
Mar-13-2025,1.98mm,3442.00,,,,,,,,,,,,,,
Mar-14-2025,1.98mm,3477.00,,,,,,,,,,,,,,
Mar-17-2025,1.27mm,3490.00,,,,,,,,,,,,,,
Mar-18-2025,1.52mm,3505.00,,,,,,,,,,,,,,
Mar-19-2025,2.15mm,3546.00,,,,,,,,,,,,,,
Mar-21-2025,3.25mm,3666.00,,,,,,,,,,,,,,
Mar-24-2025,2.21mm,3705.00,,,,,,,,,,,,,,
Mar-25-2025,1.85mm,3764.00,,,,,,,,,,,,,,
Mar-26-2025,2.47mm,3830.00,,,,,,,,,,,,,,
Mar-27-2025,2.26mm,3872.00,,,,,,,,,,,,,,
Mar-28-2025,2.21mm,3839.00,,,,,,3839,,,,,,,,
Mar-31-2025,2.22mm,3664.00,,,,,,,,,,,,,,
Apr-01-2025,2.04mm,3656.00,,,,,,,,,,,,,,
Apr-02-2025,1.35mm,3695.00,,,,,,,,,,,,,,
Apr-03-2025,2.06mm,3650.00,,,,,,,,,,,,,,
Apr-04-2025,2.26mm,3645.00,,,,,,,,,,,,,,
Apr-07-2025,2.88mm,3404.00,,,,,,,,,,,,,,
Apr-08-2025,2.37mm,3590.00,,,,,,,,,,,,,,
Apr-09-2025,2.22mm,3520.00,,,,,,,,,,,,,,
Apr-10-2025,2.39mm,3833.00,,,,,,,,,,,,,,
Apr-11-2025,2.01mm,3737.00,,,,,,,,,,,,,,
Apr-14-2025,1.21mm,3823.00,,,,,,,,,,,,,,
Apr-15-2025,1.41mm,3842.00,,,,,,,,,,,,,,
Apr-16-2025,1.21mm,3850.00,,,,,,,,,,,,,,
Apr-17-2025,1.20mm,3922.00,,,,,,,,,,,,,,
Apr-18-2025,1.39mm,3980.00,,,,,,,,,,,,,,
Apr-21-2025,1.08mm,3896.00,,,,,,,,,,,,,,
Apr-22-2025,1.20mm,3861.00,,,,,,,,,,,,,,
Apr-23-2025,1.28mm,3895.00,,,,,,,,,,,,,,
Apr-24-2025,1.57mm,3867.00,,,,,,,,,,,,,,
Apr-25-2025,2.30mm,3849.00,,,,,,,,,,,,,,
Apr-28-2025,1.44mm,3932.00,,,,,,,,,,,,,,
Apr-30-2025,3.01mm,4139.00,,,,,,,,,,,,,,
May-01-2025,1.84mm,4167.00,,,,,,,,,,,,,,
May-02-2025,1.53mm,4167.00,,,,,,,,,,,,,,
May-07-2025,1.56mm,4169.00,,,,,,,,,,,,,,
May-08-2025,1.60mm,4142.00,,,,,,,,,,,,,,
May-09-2025,2.01mm,4131.00,,,,,,,,,,,,,4131,
May-12-2025,1.89mm,4035.00,,,,,,,,,,,,,,
May-13-2025,2.62mm,3986.00,,,3986,,,3986,,,,,,,3986,
May-14-2025,4.47mm,3813.00,,,,,,,,,,,,,,
May-15-2025,3.43mm,3960.00,,,,,,,,,,,,,,
May-16-2025,2.87mm,4124.00,,,,,,,,,,,,,,
May-19-2025,2.57mm,4162.00,,,,,,,,,,,,,,
May-20-2025,2.26mm,4168.00,,,,,,,,,,,,,,
May-21-2025,1.62mm,4086.00,,,,,,,,,,,,,,
May-22-2025,1.51mm,4101.00,,,,,,,,,,,,,,
May-23-2025,1.60mm,4154.00,,,,,,,,,,,,,,
May-26-2025,1.08mm,4227.00,,,,,,,,,,,,,,
May-27-2025,1.32mm,4285.00,,,,,,,,,,,,,,
May-28-2025,1.59mm,4300.00,,,,,,,,,,,,,,
May-29-2025,1.96mm,4377.00,,,,,,,,,,,,,,
May-30-2025,3.00mm,4300.00,,,,,,,,,,,,,,
Jun-02-2025,1.50mm,4344.00,,,,,,,,,,,,,,
Jun-03-2025,1.18mm,4270.00,,,,,,,,,,,,,,
Jun-04-2025,1.44mm,4360.00,,,,,,,,,,,,,,
Jun-05-2025,1.42mm,4313.00,,,,,,,,,,,,,,
Jun-06-2025,1.26mm,4299.00,,,,,,,,,,,,,,
Jun-09-2025,1.79mm,4428.00,,,,,,,,,,,,,,
Jun-10-2025,1.99mm,4462.00,,,,,,,,,,,,,,
Jun-11-2025,1.91mm,4406.00,,,,,,,,,,,,,,
Jun-12-2025,1.61mm,4461.00,,,,,,,,,,,,,,
Jun-13-2025,3.13mm,4602.00,,,,,,,,,,,,,,
Jun-16-2025,1.57mm,4625.00,,,,,,,,,,,,,,
Jun-17-2025,1.49mm,4663.00,,,,,,,,,,,,,,
Jun-18-2025,1.70mm,4709.00,,,,,,,,,,,,,,
Jun-19-2025,1.45mm,4770.00,,,,,,,,,,,,,,
Jun-20-2025,2.22mm,4712.00,,,,,,,,,,,,,4712,
Jun-23-2025,1.08mm,4754.00,,,,,,,,,,,,,,
Jun-24-2025,1.15mm,4754.00,,,,,,,,,,,,,,
Jun-25-2025,1.87mm,4805.00,,,,,,,,,,,,,,
Jun-26-2025,1.46mm,4840.00,,,,,,,,,,,,,,
Jun-27-2025,1.39mm,4881.00,,,,,,,,,,,,,,
Jun-30-2025,1.71mm,4933.00,,,,,,,,,,,,,,
Jul-01-2025,1.52mm,4905.00,,,,,,,,,,,,,,
Jul-02-2025,2.61mm,4611.00,,,,,,,,,,,,,,
Jul-03-2025,3.56mm,4444.00,,,,,,,,,,,,,,
Jul-04-2025,1.57mm,4481.00,,,,,,,,,,,,,,
Jul-07-2025,1.53mm,4450.00,,,,,,,,,,,,,,
Jul-08-2025,1.62mm,4431.00,,,,,,,,,,,,,,
Jul-09-2025,2.42mm,4378.00,,,,,,,,,,,,,,
Jul-10-2025,2.97mm,4334.00,,,,,,,,,,,,,,
Jul-11-2025,2.15mm,4268.00,,,,,,,,,,,,,,
Jul-14-2025,1.55mm,4247.00,,,,,,,,,,,,,,
Jul-15-2025,1.47mm,4260.00,,,,,,,,,,,,,,
Jul-16-2025,1.23mm,4291.00,,,,,,,,,,,,,,
Jul-17-2025,1.88mm,4346.00,,,,,,,,,,,,,,
Jul-18-2025,3.35mm,4467.00,,,,,,,,,,,,,,
Jul-22-2025,2.30mm,4397.00,,,,,,,,,,,,,,
Jul-23-2025,2.51mm,4398.00,,,,,,,,,,,,,,
Jul-24-2025,1.97mm,4527.00,,,,,,,,,,,,,,
Jul-25-2025,3.45mm,4315.00,,,,,,,,,,,,,,
Jul-28-2025,1.73mm,4285.00,,,,,,,,,,,,,,
Jul-29-2025,1.88mm,4315.00,,,,,,,,,,,,,4315,
Jul-30-2025,1.38mm,4283.00,,,,,,,,,,,,,4283,
Jul-31-2025,9.09mm,3876.00,,,,,,,,,,,,,,
Aug-01-2025,6.33mm,3971.00,,,,,,,,,,,,,,
Aug-04-2025,2.78mm,3956.00,,,,,,,,,,,,,,
Aug-05-2025,2.25mm,3959.00,,,,,,,,,,,,,,
Aug-06-2025,2.30mm,3923.00,,,,,,,,,,,,,,
Aug-07-2025,2.03mm,3964.00,,,,,,,,,,,,,,
Aug-08-2025,2.15mm,3959.00,,,,,,,,,,,,,,
Aug-12-2025,2.49mm,4057.00,,,,,,,,,,,,,,
Aug-13-2025,2.90mm,4131.00,,,,,,,,,,,,,,
Aug-14-2025,1.89mm,4064.00,,,,,,,,,,,,,,
Aug-15-2025,2.98mm,4209.00,,,,,,,,,,,,,,
Aug-18-2025,2.84mm,4286.00,,,,,,,,,,,,,,
Aug-19-2025,2.45mm,4263.00,,,,,,,,,,,,,,
Aug-20-2025,2.80mm,4088.00,,,,,,,,,,,,,,
Aug-21-2025,1.68mm,4043.00,,,,,,,,,,,,,,
Aug-22-2025,1.53mm,4065.00,,,,,,,,,,,,,,
Aug-25-2025,1.77mm,4035.00,,,,,,,,,,,,,,
Aug-26-2025,1.83mm,4013.00,,,,,,,,,,,,,,
Aug-27-2025,1.63mm,4004.00,,,,,,,,,,,,,,
Aug-28-2025,1.54mm,3975.00,,,,,,,,,,,,,,
Aug-29-2025,1.75mm,4005.00,,,,,,,,,,,,,,
Sep-01-2025,2.09mm,4006.00,,,,,,,,,,,,,,
Sep-02-2025,2.44mm,4054.00,,,,,,,,,,,,,,
Sep-03-2025,2.30mm,3957.00,,,,,,,,,,,,,,
Sep-04-2025,2.05mm,3981.00,,,,,,,,,,,,,,
Sep-05-2025,2.13mm,4000.00,,,,,,,,,,,,,,
Sep-08-2025,1.51mm,4011.00,,,,,,,,,,,,,,
Sep-09-2025,1.62mm,4029.00,,,,,,,,,,,,,,
Sep-10-2025,1.73mm,3980.00,,,,,,,,,,,,,,
Sep-11-2025,1.55mm,4038.00,,,,,,,,,,,,,,
Sep-12-2025,1.38mm,4017.00,,,,,,,,,,,,,,
Sep-16-2025,1.45mm,4047.00,,,,,,,,,,,,,,
Sep-17-2025,2.72mm,4132.00,,,,,,,,,,,,,,
Sep-18-2025,1.74mm,4146.00,,,,,,,,,,,,,,
