Dates,Sony Group Corporation (TSE:6758) - Volume,Sony Group Corporation (TSE:6758) - Share Pricing,Annotation,Annotation,Bankruptcy Updates,Transaction Updates,Announced/Completed Transactions,Potential Red Flags/Distress Indicators,Dividends/Splits,Company Forecasts and Ratings,Listing/Trading Related,Potential Transactions,Corporate Structure Related,Investor Activism,Insider Trades,Results Announcements/Corporate Communications,Annotation
Mar-10-2020,78.88mm,1283.80,,,,,,,,,,,,,,,
Mar-11-2020,61.04mm,1229.00,,,,,,,,,,,,,,,
Mar-12-2020,73.08mm,1176.40,,,,,,,,,,,,,,,
Mar-13-2020,134.12mm,1162.20,,,,,,,,,,,,,,,
Mar-16-2020,86.52mm,1126.60,,,,,,,,,,,,,,,
Mar-17-2020,104.03mm,1166.60,,,,,1166.6,,,,,,,,,,
Mar-18-2020,77.04mm,1198.40,,,,1198.4,,,,,,,,,,,
Mar-19-2020,90.39mm,1185.80,,,,,,,,,,,,,,,
Mar-23-2020,67.22mm,1173.20,,,,,,,,,,,,,,,
Mar-24-2020,63.94mm,1239.60,,,,,,,,,,,,,,,
Mar-25-2020,56.17mm,1300.00,,,,,,,,,,,,,,,
Mar-26-2020,46.49mm,1280.00,,,,,,,,,,,1280,,,,
Mar-27-2020,57.68mm,1337.60,,,,,,,1337.6,,,,,,,,
Mar-30-2020,54.45mm,1286.80,,,,,,,1286.8,,,,,,,,
Mar-31-2020,47.15mm,1284.20,,,,,,,,,,,,,,,
Apr-01-2020,45.86mm,1245.60,,,,,,,,,,,,1245.6,,,
Apr-02-2020,49.65mm,1264.40,,,,,,,,,,,,,,,
Apr-03-2020,41.73mm,1252.00,,,,,,,,,,,,,,,
Apr-06-2020,45.18mm,1310.00,,,,,,,,,,,,,,1310,
Apr-07-2020,45.78mm,1338.00,,,,,,,,,,,,,,,
Apr-08-2020,45.27mm,1340.40,,,,,,,,,,,,,,,
Apr-09-2020,28.02mm,1342.20,,,,,,,,,,,,,,,
Apr-10-2020,28.72mm,1334.00,,,,,,,,,,,,,,,
Apr-13-2020,22.91mm,1301.40,,,,,,,,,,,,,,,
Apr-14-2020,23.88mm,1323.20,,,,,,,,,,,,,,,
Apr-15-2020,33.34mm,1353.40,,,,,,,,,,1353.4,,,,,
Apr-16-2020,28.01mm,1340.00,,,,,,,,,,,,,,,
Apr-17-2020,46.36mm,1393.80,,,,,,,,,,1393.8,,,,,
Apr-20-2020,25.55mm,1375.60,,,,,,,,,,,,,,,
Apr-21-2020,32.07mm,1344.40,,,,,,,,,,,,,,,
Apr-22-2020,25.25mm,1348.60,,,,,,,,,,,,,,,
Apr-23-2020,18.82mm,1352.20,,,,,,,,,,,,,,,
Apr-24-2020,18.41mm,1341.20,,,,,,,,,,,,,,,
Apr-27-2020,18.01mm,1355.80,,,,,,,,,,,,,,,
Apr-28-2020,24.96mm,1352.60,,,,,,,,,,,,,,,
Apr-30-2020,41.89mm,1386.40,,,,,,,,,,,,,,,
May-01-2020,22.97mm,1361.20,,,,,,,,,,,,,,,
May-07-2020,23.73mm,1358.40,,,,,,,,,,,,,,,
May-08-2020,28.79mm,1389.60,,,,,,,,,,,,,,,
May-11-2020,30.44mm,1411.80,,,,,,,,,,,,,,,
May-12-2020,27.82mm,1414.20,,,,,,,,,,,,,,,
May-13-2020,25.09mm,1413.80,,,,,,,1413.8,,,,1413.8,,,1413.8,
May-14-2020,45.65mm,1358.80,,,,,,,,,,,,,,,
May-15-2020,32.88mm,1373.00,,,,,,,,,,,,,,,
May-18-2020,36.41mm,1337.00,,,,,,,,,,,,,,,
May-19-2020,46.52mm,1380.40,,,,,1380.4,1380.4,,,1380.4,,1380.4,,,1380.4,
May-20-2020,59.13mm,1349.40,,,,,,,,,,,1349.4,,,,
May-21-2020,27.16mm,1359.00,,,,,,,,,,,,,,,
May-22-2020,25.13mm,1354.60,,,,,,,,,,,,,,,
May-25-2020,18.55mm,1350.00,,,,,1350,,,,,,,,,,
May-26-2020,32.85mm,1347.40,,,,,,,,,,,,,,,
May-27-2020,33.27mm,1350.00,,,,,,,,,,,,,,,
May-28-2020,46.11mm,1376.80,,,,,,,,,,,,,,,
May-29-2020,48.33mm,1374.80,,,,,,,,,,,,,,,
Jun-01-2020,31.12mm,1394.60,,,,,,,,,,,,,,,
Jun-02-2020,43.75mm,1426.60,,,,,,,,,,,,,,,
Jun-03-2020,41.02mm,1430.20,,,,,,,,,,,,,,,
Jun-04-2020,41.83mm,1453.40,,,,,1453.4,,,,,,,,,,
Jun-05-2020,26.93mm,1456.00,,,,,,,,,,,,,,,
Jun-08-2020,27.99mm,1479.20,,,,,,,,,,,,,,1479.2,
Jun-09-2020,25.09mm,1480.40,,,,,1480.4,,,,,,,,,,
Jun-10-2020,30.66mm,1499.20,,,,,,,,,,,,,,,
Jun-11-2020,43.73mm,1499.00,,,,,,,,,,,,,,,
Jun-12-2020,40.55mm,1480.80,,,,,,,,,,,,,,,
Jun-15-2020,32.80mm,1463.40,,,,,,,,,,,,,,,
Jun-16-2020,29.15mm,1496.00,,,,,,,,,,,,,,,
Jun-17-2020,41.11mm,1533.80,,,,,,,,,,,,,,,
Jun-18-2020,24.85mm,1533.00,,,,,,,,,,,,,,,
Jun-19-2020,24.65mm,1522.40,,,,,,,,,,,,,,,
Jun-22-2020,20.59mm,1521.40,,,,,,,,,,,,,,,
Jun-23-2020,24.38mm,1528.00,,,,,,,,,,,,,,,
Jun-24-2020,23.15mm,1530.00,,,,,,,,,,,,,,,
Jun-25-2020,21.08mm,1511.00,,,,,,,,,,,,,,,
Jun-26-2020,20.70mm,1503.80,,,,,,,,,,,1503.8,,,1503.8,
Jun-29-2020,26.76mm,1462.60,,,,,,,,,,,,,,,
Jun-30-2020,21.61mm,1476.80,,,,,,,,,,,,,,1476.8,
Jul-01-2020,19.71mm,1486.40,,,,,,,,,,,1486.4,,,,
Jul-02-2020,22.79mm,1500.00,,,,,,,,,,,,,,,
Jul-03-2020,15.51mm,1502.20,,,,,,,,,,,,,,,
Jul-06-2020,16.03mm,1516.00,,,,,,,,,,,,,,,
Jul-07-2020,20.72mm,1500.40,,,,,,,,,,,,,,,
Jul-08-2020,16.33mm,1486.00,,,,,,,,,,,,,,,
Jul-09-2020,38.33mm,1534.60,,,,,1534.6,,,,,,,,,,
Jul-10-2020,44.50mm,1556.00,,,,,,,,,,1556,,,,,
Jul-13-2020,44.77mm,1620.00,,,,,1620,,,,,,,,,,
Jul-14-2020,31.94mm,1588.00,,,,,,,,,,,,,,,
Jul-15-2020,37.12mm,1625.20,,,,,,,,,,,,,,,
Jul-16-2020,41.01mm,1635.20,,,,,,,,,,,,,,,
Jul-17-2020,20.26mm,1623.00,,,,,,,,,,1623,,,,,
Jul-20-2020,20.15mm,1649.80,,,,,,,,,,,,,,,
Jul-21-2020,29.28mm,1675.80,,,,,,,,,,,,,,,
Jul-22-2020,17.45mm,1652.00,,,,,,,,,,,,,,,
Jul-27-2020,25.12mm,1639.20,,,,,,,,,,,,,,,
Jul-28-2020,19.44mm,1651.60,,,,,,,,,,,,,,,
Jul-29-2020,17.37mm,1633.60,,,,,,,,,,,,,,,
Jul-30-2020,18.00mm,1636.80,,,,,,,,,,,,,,,
Jul-31-2020,24.69mm,1615.20,,,,,,,,,,,,,,,
Aug-03-2020,28.63mm,1662.80,,,,,,,,,,,,,,,
Aug-04-2020,50.62mm,1737.20,,,,,1737.2,,1737.2,1737.2,,1737.2,1737.2,,,1737.2,
Aug-05-2020,51.71mm,1709.20,,,,,,,,,,,,,,,
Aug-06-2020,23.55mm,1693.60,,,,,1693.6,,,,,,,,,,
Aug-07-2020,25.21mm,1705.00,,,,,,,,,,,,,,,
Aug-11-2020,26.13mm,1707.40,,,,,,,,,,,,,,,
Aug-12-2020,22.79mm,1692.40,,,,,,,,,,,,,,,
Aug-13-2020,31.16mm,1740.00,,,,,,,,,,1740,,,,,
Aug-14-2020,30.03mm,1775.20,,,,,,,,,,,,,,,
Aug-17-2020,18.72mm,1765.20,,,,,,,,,,,,,,,
Aug-18-2020,20.31mm,1753.60,,,,,1753.6,,,,,,,,,,
Aug-19-2020,37.37mm,1705.20,,,,,,,,,,,,,,,
Aug-20-2020,40.50mm,1670.80,,,,,,,,,,,,,,,
Aug-21-2020,28.82mm,1656.80,,,,,,,,,,,,,,1656.8,
Aug-24-2020,18.60mm,1681.40,,,,,,,,,,,,,,,
Aug-25-2020,18.36mm,1684.60,,,,,,,,,,,,,,,
Aug-26-2020,23.25mm,1714.20,,,,,,,,,,,,,,,
Aug-27-2020,23.45mm,1711.80,,,,,,,,,,,,,,,
Aug-28-2020,35.79mm,1656.00,,,,,,,,,,,,,,,
Aug-31-2020,22.60mm,1661.80,,,,,,,,,,,,,,,
Sep-01-2020,19.67mm,1669.80,,,,,,,,,,,,,,,
Sep-02-2020,19.22mm,1684.00,,,,,,,,,,,,,,,
Sep-03-2020,19.15mm,1685.20,,,,,,,,,,,,,,,
Sep-04-2020,24.66mm,1657.60,,,,,,,,,,,,,,,
Sep-07-2020,19.23mm,1639.60,,,,,,,,,,,,,,,
Sep-08-2020,17.16mm,1647.00,,,,,,,,,,,,,,,
Sep-09-2020,28.65mm,1615.60,,,,,,,,,,,,,,1615.6,
Sep-10-2020,30.22mm,1643.20,,,,,,,,,,,,,,1643.2,
Sep-11-2020,23.22mm,1642.20,,,,,,,,,,,,,,,
Sep-14-2020,17.63mm,1651.40,,,,,,,,,,,,,,,
Sep-15-2020,49.25mm,1611.60,,,,,,,,,,,,,,,
Sep-16-2020,37.04mm,1642.00,,,,,,,,,,,,,,,
Sep-17-2020,27.15mm,1626.40,,,,,,,,,,,,,,,
Sep-18-2020,32.95mm,1664.60,,,,,,,,,,,,,,,
Sep-23-2020,35.69mm,1640.80,,,,,,,,,,,,,,,
Sep-24-2020,27.07mm,1631.00,,,,,,,,,,,,,,,
Sep-25-2020,31.53mm,1620.00,,,,,,,,,,,,,,,
Sep-28-2020,24.68mm,1635.80,,,,,,,1635.8,,,,,,,,
Sep-29-2020,23.78mm,1640.00,,,,,,,1640,,,,,,,1640,
Sep-30-2020,25.97mm,1606.40,,,,,,,,,,,,,,,
Oct-02-2020,46.09mm,1550.60,,,,,,,,,,,,,,,
Oct-05-2020,26.78mm,1578.40,,,,,,,,,,,,,,,
Oct-06-2020,22.57mm,1565.60,,,,,,,,,,,,,,,
Oct-07-2020,21.61mm,1554.00,,,,,,,,,,,,,,1554,
Oct-08-2020,21.69mm,1566.40,,,,,,,,,,,,,,,
Oct-09-2020,24.42mm,1572.40,,,,,,,,,,,,,,,
Oct-12-2020,21.68mm,1553.60,,,,,,,,,,,,,,,
Oct-13-2020,20.74mm,1582.00,,,,,,,,,,,,,,,
Oct-14-2020,21.89mm,1562.20,,,,,,,,,,,,,,,
Oct-15-2020,19.97mm,1551.40,,,,,,,,,,,,,,,
Oct-16-2020,26.88mm,1520.60,,,,,,,,,,,,,,,
Oct-19-2020,21.25mm,1553.80,,,,,,,,,,,,,,,
Oct-20-2020,22.82mm,1580.00,,,,,,,,,,,1580,,,,
Oct-21-2020,22.84mm,1579.20,,,,,,,,,,,,,,,
Oct-22-2020,16.51mm,1563.20,,,,,,,,,,,,,,,
Oct-23-2020,15.78mm,1564.00,,,,,,,,,,,,,,,
Oct-26-2020,19.67mm,1603.40,,,,,,,,,,,,,,,
Oct-27-2020,26.93mm,1620.00,,,,,,,,,,,,,,,
Oct-28-2020,30.45mm,1649.60,,,,,,,,1649.6,,,1649.6,,,1649.6,
Oct-29-2020,95.99mm,1760.00,,,,,,,,,,,,,,,
Oct-30-2020,47.08mm,1734.80,,,,,,,,,,,,,,,
Nov-02-2020,34.06mm,1753.60,,,,,,,,,,,,,,,
Nov-04-2020,47.15mm,1780.60,,,,,,,,,,,,,,1780.6,
Nov-05-2020,50.60mm,1845.80,,,,,,,,,,,,,,,
Nov-06-2020,30.04mm,1829.00,,,,,,,,,,,,,,,
Nov-09-2020,27.30mm,1844.00,,,,,,,,,,,,,,,
Nov-10-2020,42.38mm,1784.00,,,,,,,,,,,,,,,
Nov-11-2020,32.69mm,1808.00,,,,,,,,,,,,,,,
Nov-12-2020,33.62mm,1832.00,,,,,,,,,,,,,,,
Nov-13-2020,44.15mm,1865.20,,,,,,,,,,,,,,,
Nov-16-2020,29.91mm,1898.20,,,,,,,,,,1898.2,,,,,
Nov-17-2020,27.94mm,1881.60,,,,,,,,,,,1881.6,,,1881.6,
Nov-18-2020,25.14mm,1847.40,,,,,,,,,,,,,,1847.4,
Nov-19-2020,27.81mm,1849.80,,,,,,,,,,,,,,,
Nov-20-2020,22.84mm,1847.00,,,,,,,,,,,,,,,
Nov-24-2020,37.38mm,1898.00,,,,,,,,,,,,,,,
Nov-25-2020,60.54mm,1962.00,,,,,,,,,,,,,,,
Nov-26-2020,30.64mm,1950.80,,,,,,,,,,,,,,,
Nov-27-2020,34.82mm,1962.40,,,,,,,,,,,,,,,
Nov-30-2020,44.95mm,1940.80,,,,,,,,,,,,,,,
Dec-01-2020,28.30mm,1960.00,,,,,,,,,,,,,,,
Dec-02-2020,40.17mm,1923.60,,,,,,,,,,,,,,,
Dec-03-2020,24.31mm,1953.00,,,,,,,,,,,,,,,
Dec-04-2020,17.29mm,1951.40,,,,,,,,,,,,,,,
Dec-07-2020,16.57mm,1935.00,,,,,,,,,,,,,,1935,
Dec-08-2020,17.57mm,1940.80,,,,,,,,,,,,,,1940.8,
Dec-09-2020,22.47mm,1974.40,,,,,,,,,,,,,,,
Dec-10-2020,18.55mm,1963.60,,,,,,,,,,,,,,,
Dec-11-2020,24.04mm,1971.60,,,,,,,,,,,,,,,
Dec-14-2020,17.49mm,1956.60,,,,,,,,,,,,,,,
Dec-15-2020,17.97mm,1946.00,,,,,,,,,,,,,,,
Dec-16-2020,13.85mm,1953.00,,,,,,,,,,,,,,,
Dec-17-2020,43.50mm,2005.00,,,,,,,,,,,,,,,
Dec-18-2020,39.16mm,2051.00,,,,,,,,,,,,,,,
Dec-21-2020,20.90mm,2081.00,,,,,,,,,,,,,,,
Dec-22-2020,17.73mm,2009.00,,,,,,,,,,,,,,,
Dec-23-2020,10.70mm,2030.00,,,,,,,,,,,,,,,
Dec-24-2020,12.49mm,2018.00,,,,,,,,,,,,,,,
Dec-25-2020,12.33mm,1990.60,,,,,,,,,,,,,,,
Dec-28-2020,15.85mm,2036.00,,,,,,,,,,,,,,,
Dec-29-2020,20.99mm,2078.00,,,,,,,,,,,,,,,
Dec-30-2020,16.22mm,2057.00,,,,,,,,,,,,,,,
Jan-04-2021,18.95mm,2087.00,,,,,,,,,,,,,,,
Jan-05-2021,24.98mm,2114.00,,,,,,,,,,,,,,,
Jan-06-2021,21.24mm,2066.00,,,,,,,,,,,,,,,
Jan-07-2021,20.92mm,2088.00,,,,,,,,,,,,,,,
Jan-08-2021,30.78mm,2143.00,,,,,,,,,,,,,,,
Jan-12-2021,28.97mm,2170.00,,,,,,,,,,,,,,,
Jan-13-2021,23.39mm,2140.00,,,,,,,,,,,,,,,
Jan-14-2021,22.77mm,2150.00,,,,,,,,,,,,,,,
Jan-15-2021,20.41mm,2112.00,,,,,,,,,,,,,,,
Jan-18-2021,12.90mm,2096.00,,,,,,,,,,,,,,,
Jan-19-2021,13.33mm,2121.00,,,,,,,,,,,,,,,
Jan-20-2021,11.51mm,2118.00,,,,,,,,,,,,,,,
Jan-21-2021,15.44mm,2121.00,,,,,,,,,,,,,,,
Jan-22-2021,18.42mm,2096.00,,,,,,,,,,,2096,,,,
Jan-25-2021,26.11mm,2060.00,,,,,,,,,,,,,,,
Jan-26-2021,19.05mm,2057.00,,,,,,,,,,,,,,,
Jan-27-2021,23.89mm,2054.00,,,,,,,,,,,,,,,
Jan-28-2021,33.01mm,2007.00,,,,,,,,,,,,,,,
Jan-29-2021,23.37mm,2010.00,,,,,,,,,,,,,,,
Feb-01-2021,13.98mm,2031.00,,,,,,,,,,,,,,,
Feb-02-2021,22.00mm,2093.00,,,,,,,,,,,,,,,
Feb-03-2021,24.32mm,2127.00,,,,,,,2127,2127,,,,,,2127,
Feb-04-2021,88.91mm,2330.00,,,,,2330,,,,,,,,,,
Feb-05-2021,75.34mm,2490.00,,,,,,,,,,,,,,,
Feb-08-2021,43.92mm,2419.00,,,,,,,,,,,,,,,
Feb-09-2021,40.66mm,2365.00,,,,,2365,,,,,,,,,,
Feb-10-2021,26.02mm,2398.00,,,,,,,,,,,,,,,
Feb-12-2021,19.19mm,2369.00,,,,,,,,,,,,,,,
Feb-15-2021,17.12mm,2394.00,,,,,,,,,,,,,,,
Feb-16-2021,31.68mm,2448.00,,,,,,,,,,,,,,,
Feb-17-2021,19.95mm,2440.00,,,,,,,,,,,,,,,
Feb-18-2021,20.03mm,2400.00,,,,,,,,,,,,,,,
Feb-19-2021,15.43mm,2393.00,,,,,2393,,,,,,,,,,
Feb-22-2021,17.12mm,2396.00,,,,,,,,,,,,,,,
Feb-24-2021,32.22mm,2265.00,,,,,,,,,,,,,,,
Feb-25-2021,21.54mm,2314.00,,,,,,,,,,,,,,,
Feb-26-2021,30.82mm,2224.00,,,,,,,,,,,,,,,
Mar-01-2021,20.93mm,2281.00,,,,,,,,,,,,,,,
Mar-02-2021,24.56mm,2269.00,,,,,,,,,,,,,,,
Mar-03-2021,17.26mm,2266.00,,,,,,,,,,,,,,,
Mar-04-2021,25.39mm,2209.00,,,,,,,,,,,,,,,
Mar-05-2021,32.27mm,2243.00,,,,,,,,,,,,,,,
Mar-08-2021,23.36mm,2204.00,,,,,,,,,,,,,,,
Mar-09-2021,30.42mm,2162.00,,,,,,,,,,,,,,,
Mar-10-2021,29.16mm,2200.00,,,,,,,,,,,,,,,
Mar-11-2021,22.56mm,2202.00,,,,,,,,,,,,,,,
Mar-12-2021,27.89mm,2266.00,,,,,,,,,,,,,,,
Mar-15-2021,16.19mm,2280.00,,,,,,,,,,,,,,,
Mar-16-2021,19.12mm,2317.00,,,,,,,,,,,,,,,
Mar-17-2021,16.09mm,2315.00,,,,,,,,,,,,,,,
Mar-18-2021,18.99mm,2326.00,,,,,,,,,,,,,,,
Mar-19-2021,24.67mm,2311.00,,,,,,,,,,,,,,,
Mar-22-2021,16.47mm,2292.00,,,,,,,,,,,,,,,
Mar-23-2021,15.95mm,2306.00,,,,,,,,,,,,,,,
Mar-24-2021,18.25mm,2245.00,,,,,,,,,,,,,,,
Mar-25-2021,20.74mm,2243.00,,,,,,,,,,,,,,,
Mar-26-2021,21.19mm,2287.00,,,,,,,,,,,,,,,
Mar-29-2021,25.63mm,2327.00,,,,,,,2327,,,,,,,,
Mar-30-2021,18.69mm,2299.00,,,,,,,2299,,,,,,,,
Mar-31-2021,30.51mm,2319.00,,,,2319,2319,,,,,,,,,,
Apr-01-2021,22.17mm,2330.00,,,,,,,,,,,2330,,,,
Apr-02-2021,29.77mm,2440.00,,,,,,,,,,,,,,,
Apr-05-2021,18.86mm,2466.00,,,,,,,,,,,,,,,
Apr-06-2021,23.00mm,2416.00,,,,,,,,,,,,,,,
Apr-07-2021,18.74mm,2433.00,,,,,,,,,,,,,,,
Apr-08-2021,21.34mm,2380.00,,,,,,,,,,,,,,,
Apr-09-2021,22.16mm,2446.00,,,,,,,,,,,,,,,
Apr-12-2021,14.38mm,2435.00,,,,,,,,,,,,,,,
Apr-13-2021,17.40mm,2436.00,,,,,2436,,,,,,,,,,
Apr-14-2021,13.93mm,2438.00,,,,,,,,,,,,,,,
Apr-15-2021,16.05mm,2441.00,,,,,,,,,,,,,,,
Apr-16-2021,13.75mm,2416.00,,,,,,,,,,,,,,,
Apr-19-2021,15.66mm,2398.00,,,,,,,,,,,,,,,
Apr-20-2021,18.14mm,2373.00,,,,,,,,,,,,,,,
Apr-21-2021,22.30mm,2315.00,,,,,,,,,,,,,,,
Apr-22-2021,18.25mm,2344.00,,,,,,,,,,,,,,,
Apr-23-2021,15.41mm,2368.00,,,,,,,,,,,,,,,
Apr-26-2021,14.08mm,2340.00,,,,,,,,,,,,,,,
Apr-27-2021,22.59mm,2290.00,,,,,,,,,,,,,,,
Apr-28-2021,21.27mm,2362.00,,,,,2362,,,,,,2362,,,2362,
Apr-30-2021,62.09mm,2180.00,,,,,,,,,,,,,,,
May-06-2021,43.73mm,2143.00,,,,,,,,,,,,,,,
May-07-2021,35.29mm,2094.00,,,,,,,,,,,,,,,
May-10-2021,26.06mm,2156.00,,,,,,,,,,,,,,,
May-11-2021,29.29mm,2080.00,,,,,,,,,,,,,,,
May-12-2021,25.19mm,2060.00,,,,,,2060,,,,,,,,,
May-13-2021,32.93mm,1997.80,,,,,,,,,,,,,,,
May-14-2021,30.43mm,2045.00,,,,,,,,,,,,,,,
May-17-2021,16.61mm,2066.00,,,,,,,,,,,,,,,
May-18-2021,23.61mm,2064.00,,,,,,,,,,,,,,,
May-19-2021,17.30mm,2084.00,,,,,,,,,,,,,,,
May-20-2021,16.81mm,2095.00,,,,,,2095,,2095,,,,,,,
May-21-2021,19.50mm,2105.00,,,,,,,,,,,,,,,
May-24-2021,15.88mm,2102.00,,,,,,,,,,,,,,,
May-25-2021,20.07mm,2151.00,,,,,,,,,,,,,,,
May-26-2021,18.48mm,2140.00,,,,,,,,,,,,,,2140,
May-27-2021,23.45mm,2160.00,,,,,,,,,,,,,,,
May-28-2021,28.78mm,2194.00,,,,,,,,,,,,,,2194,
May-31-2021,17.39mm,2157.00,,,,,,,,,,,,,,2157,
Jun-01-2021,13.00mm,2166.00,,,,,,,,,,,,,,2166,
Jun-02-2021,15.58mm,2161.00,,,,,,,,,,,,,,,
Jun-03-2021,11.92mm,2171.00,,,,,,,,,,,,,,,
Jun-04-2021,12.32mm,2184.00,,,,,,,,,,,,,,,
Jun-07-2021,18.79mm,2170.00,,,,,,,,,,,,,,,
Jun-08-2021,18.12mm,2199.00,,,,,,,,,,,,,,,
Jun-09-2021,18.33mm,2151.00,,,,,,,,,,,,,,,
Jun-10-2021,13.32mm,2159.00,,,,,2159,,,,,,,,,,
Jun-11-2021,16.25mm,2172.00,,,,,,,,,,,,,,,
Jun-14-2021,10.51mm,2164.00,,,,,,,,,,,,,,,
Jun-15-2021,14.76mm,2203.00,,,,,,,,,,,,,,,
Jun-16-2021,24.58mm,2140.00,,,,,,,,,,,,,,,
Jun-17-2021,19.13mm,2090.00,,,,,,,,,,,,,,,
Jun-18-2021,19.58mm,2100.00,,,,,,,,,,,,,,,
Jun-21-2021,19.63mm,2108.00,,,,,,,,,,,,,,2108,
Jun-22-2021,22.39mm,2174.00,,,,,,,,,,,,,,2174,
Jun-23-2021,15.18mm,2130.00,,,,,,,,,,,,,,,
Jun-24-2021,8.56mm,2137.00,,,,,,,,,,,,,,,
Jun-25-2021,14.95mm,2170.00,,,,,,,,,,,,,,,
Jun-28-2021,11.01mm,2174.00,,,,,,,,,,,,,,,
Jun-29-2021,16.08mm,2200.00,,,,,,,,,,,,,,,
Jun-30-2021,19.94mm,2163.00,,,,,,,,,,,,,,,
Jul-01-2021,15.47mm,2188.00,,,,,,,,,,,,,,,
Jul-02-2021,28.67mm,2268.00,,,,,,,,,,,,,,,
Jul-05-2021,13.99mm,2248.00,,,,,,,,,,,,,,,
Jul-06-2021,16.01mm,2248.00,,,,2248,,,,,,,,,,,
Jul-07-2021,13.89mm,2225.00,,,,,,,,,,,,,,,
Jul-08-2021,14.45mm,2195.00,,,,,,,,,,,,,,,
Jul-09-2021,23.08mm,2211.00,,,,,,,,,,,,,,,
Jul-12-2021,30.90mm,2297.00,,,,,,,,,,,,,,,
Jul-13-2021,24.95mm,2313.00,,,,,,,,,,,,,,,
Jul-14-2021,13.34mm,2321.00,,,,,,,,,,,,,,,
Jul-15-2021,14.16mm,2281.00,,,,,,,,,,,,,,,
Jul-16-2021,17.10mm,2231.00,,,,,,,,,,,,,,,
Jul-19-2021,14.65mm,2186.00,,,,,,,,,,,,,,,
Jul-20-2021,19.71mm,2137.00,,,,,,,,,,,,,,,
Jul-21-2021,15.50mm,2181.00,,,,,,,,,,,,,,,
Jul-26-2021,17.64mm,2195.00,,,,,,,,,,,,,,,
Jul-27-2021,10.80mm,2210.00,,,,,,,,,,,,,,,
Jul-28-2021,20.52mm,2227.00,,,,,,,,,,,,,,,
Jul-29-2021,23.84mm,2304.00,,,,,,,,,,,,,,,
Jul-30-2021,19.86mm,2275.00,,,,,,,,,,,,,,,
Aug-02-2021,13.48mm,2310.00,,,,,,,,,,,,,,,
Aug-03-2021,11.15mm,2289.00,,,,,,,,,,,,,,,
Aug-04-2021,20.63mm,2215.00,,,,,,,,2215,,,,,,2215,
Aug-05-2021,20.96mm,2272.00,,,,,,,,,,,,,,,
Aug-06-2021,15.00mm,2280.00,,,,,,,,,,,,,,,
Aug-10-2021,17.63mm,2223.00,,,,,,,,,,,,,,,
Aug-11-2021,10.74mm,2222.00,,,,,,,,,,,,,,,
Aug-12-2021,10.33mm,2202.00,,,,,,,,,,,,,,2202,
Aug-13-2021,13.96mm,2233.00,,,,,,,,,,,,,,,
Aug-16-2021,15.74mm,2183.00,,,,,,,,,,,,,,,
Aug-17-2021,11.72mm,2144.00,,,,,,,,,,,,,,,
Aug-18-2021,13.87mm,2180.00,,,,,,,,,,,,,,,
Aug-19-2021,14.86mm,2121.00,,,,,,,,,,,,,,,
Aug-20-2021,12.91mm,2124.00,,,,,,,,,,,,,,,
Aug-23-2021,15.84mm,2200.00,,,,,,,,,,,,,,,
Aug-24-2021,21.75mm,2277.00,,,,,,,,,,,,,,,
Aug-25-2021,15.43mm,2293.00,,,,,,,,,,,,,,,
Aug-26-2021,15.09mm,2259.00,,,,,,,,,,,,,,,
Aug-27-2021,11.42mm,2246.00,,,,,,,,,,,,,,,
Aug-30-2021,13.96mm,2247.00,,,,,,,,,,,,,,,
Aug-31-2021,17.39mm,2272.00,,,,,,,,,,,,,,,
Sep-01-2021,12.25mm,2288.00,,,,,,,,,,,,,,,
Sep-02-2021,12.65mm,2320.00,,,,,,,,,,,,,,,
Sep-03-2021,25.38mm,2376.00,,,,,2376,,,,,,,,,,
Sep-06-2021,15.44mm,2390.00,,,,,,,,,,,,,,,
Sep-07-2021,22.55mm,2397.00,,,,,,,,,,,,,,,
Sep-08-2021,17.46mm,2394.00,,,,,,,,,,,,,,,
Sep-09-2021,19.22mm,2410.00,,,,,,,,,,,,,,,
Sep-10-2021,24.08mm,2447.00,,,,,,,,,,,,,,,
Sep-13-2021,14.00mm,2446.00,,,,,,,,,,,,,,,
Sep-14-2021,15.80mm,2470.00,,,,,,,,,,,,,,,
Sep-15-2021,15.19mm,2434.00,,,,,,,,,,,,,,2434,
Sep-16-2021,14.95mm,2454.00,,,,,,,,,,,,,,,
Sep-17-2021,22.03mm,2463.00,,,,,,,,,,,,,,,
Sep-21-2021,24.33mm,2468.00,,,,,,,,,,,,,,,
Sep-22-2021,17.83mm,2472.00,,,,,,,,,,,,,,,
Sep-24-2021,34.41mm,2600.00,,,,,,,,,,,,,,,
Sep-27-2021,19.12mm,2593.00,,,,,,,,,,,,,,,
Sep-28-2021,20.67mm,2584.00,,,,,,,2584,,,,,,,2584,
Sep-29-2021,25.00mm,2488.00,,,,,,,2488,,,,,,,,
Sep-30-2021,19.10mm,2491.00,,,,,,,,,,,,,,,
Oct-01-2021,19.18mm,2417.00,,,,,,,,,,,,,,,
Oct-04-2021,15.93mm,2394.00,,,,,,,,,,,,,,,
Oct-05-2021,17.07mm,2357.00,,,,2357,,,,,,,,,,,
Oct-06-2021,18.31mm,2325.00,,,,,,,,,,,,,,,
Oct-07-2021,11.76mm,2339.00,,,,,,,,,,,,,,,
Oct-08-2021,14.94mm,2372.00,,,,,,,,,,,,,,,
Oct-11-2021,16.52mm,2477.00,,,,,,,,,,,,,,,
