Dates,"Nintendo Co., Ltd. (TSE:7974) - Share Pricing",Annotation,Bankruptcy Updates,Announced/Completed Transactions,Company Forecasts and Ratings,Corporate Structure Related,Potential Red Flags/Distress Indicators,Potential Transactions,Listing/Trading Related,Investor Activism,Dividends/Splits,Transaction Updates,Insider Trades,Results Announcements/Corporate Communications,Annotation,"Nintendo Co., Ltd. (TSE:7974) - Volume"
May-10-2023,5725.00,,,,,,,,,,,,,,,8.95mm
May-11-2023,5631.00,,,,,,,,,,,,,,,5.81mm
May-12-2023,5758.00,,,,,,,,,,,,,,,7.82mm
May-15-2023,5800.00,,,,,,,,,,,,,,,5.63mm
May-16-2023,5847.00,,,,,,,,,,,,,,,6.05mm
May-17-2023,5925.00,,,,,,,,,,,,,,,7.47mm
May-18-2023,6043.00,,,,,,,,,,,,,,,8.56mm
May-19-2023,5977.00,,,,,,,,,,,,,,,6.09mm
May-22-2023,6060.00,,,,,,,,,,,,,,,5.10mm
May-23-2023,5988.00,,,,,,,,,,,,,,,7.21mm
May-24-2023,5930.00,,,,,,,,,,,,,,,4.22mm
May-25-2023,5876.00,,,,,,,,,,,,,,,4.43mm
May-26-2023,5943.00,,,,,,,,,,,,,,,4.49mm
May-29-2023,5909.00,,,,,,,,,,,,,,,5.56mm
May-30-2023,5990.00,,,,,,,,,,,,,,,4.85mm
May-31-2023,5936.00,,,,,,,,,,,,,,,13.22mm
Jun-01-2023,5954.00,,,,,,,,,,,,,,,4.03mm
Jun-02-2023,6050.00,,,,,,,,,,,,,,,5.93mm
Jun-05-2023,6083.00,,,,,,,,,,,,,,,4.31mm
Jun-06-2023,6120.00,,,,,,,,,,,,,,,3.51mm
Jun-07-2023,6053.00,,,,,,,,,,,,,,,5.34mm
Jun-08-2023,5983.00,,,,,,,,,,,,,,,4.20mm
Jun-09-2023,6098.00,,,,,,,,,,,,,,,6.75mm
Jun-12-2023,6126.00,,,,,,,,,,,,,,,3.74mm
Jun-13-2023,6181.00,,,,,,,,,,,,,,,3.73mm
Jun-14-2023,6157.00,,,,,,,,,,,,,,,3.75mm
Jun-15-2023,6225.00,,,,,,,,,,,,,,,7.49mm
Jun-16-2023,6266.00,,,,,,,,,,,,,,,6.52mm
Jun-19-2023,6232.00,,,,,,,,,,,,,,,3.49mm
Jun-20-2023,6242.00,,,,,,,,,,,,,,,3.11mm
Jun-21-2023,6212.00,,,,,,,,,,,,,,,3.03mm
Jun-22-2023,6318.00,,,,,,,,,,,,,6318,,9.57mm
Jun-23-2023,6230.00,,,,,,,,,,,,,6230,,4.44mm
Jun-26-2023,6289.00,,,,,,,,,,,,,,,3.71mm
Jun-27-2023,6392.00,,,,,,,,,,,,,,,5.80mm
Jun-28-2023,6520.00,,,,,,,,,,,,,,,6.78mm
Jun-29-2023,6582.00,,,,,,,,,,,,,,,5.52mm
Jun-30-2023,6542.00,,,,,,,,,,,,,,,6.66mm
Jul-03-2023,6587.00,,,,,,,,,,,,,,,3.17mm
Jul-04-2023,6519.00,,,,,,,,,,,,,,,2.86mm
Jul-05-2023,6512.00,,,,,,,,,,,,,,,3.12mm
Jul-06-2023,6314.00,,,,,,,,,,,,,,,6.00mm
Jul-07-2023,6351.00,,,,,,,,,,,,,,,4.96mm
Jul-10-2023,6305.00,,,,,,,,,,,,,,,4.09mm
Jul-11-2023,6257.00,,,,,,,,,,,,,,,3.54mm
Jul-12-2023,6300.00,,,,,,,,,,,,,,,4.66mm
Jul-13-2023,6424.00,,,,,,,,,,,,,,,3.37mm
Jul-14-2023,6389.00,,,,,,,,,,,,,,,3.59mm
Jul-18-2023,6360.00,,,,,,,,,,,,,,,2.53mm
Jul-19-2023,6433.00,,,,,,,,,,,,,,,2.68mm
Jul-20-2023,6426.00,,,,,,,,,,,,,,,2.98mm
Jul-21-2023,6418.00,,,,,,,,,,,,,,,2.88mm
Jul-24-2023,6511.00,,,,,,,,,,,,,,,3.41mm
Jul-25-2023,6443.00,,,,,,,,,,,,,,,3.41mm
Jul-26-2023,6300.00,,,,,,,,,,,,,,,4.08mm
Jul-27-2023,6376.00,,,,,,,,,,,,,,,3.24mm
Jul-28-2023,6354.00,,,,,,,,,,,,,,,4.52mm
Jul-31-2023,6450.00,,,,,,,,,,,,,,,4.43mm
Aug-01-2023,6459.00,,,,,,,,,,,,,,,3.22mm
Aug-02-2023,6355.00,,,,,,,,,,,,,,,3.58mm
Aug-03-2023,6357.00,,,,,,,,,,,,,6357,,4.11mm
Aug-04-2023,6172.00,,,,,,,,,,,,,,,9.94mm
Aug-07-2023,6232.00,,,,,,,,,,,,,,,4.55mm
Aug-08-2023,6159.00,,,,,,,,,,,,,,,3.82mm
Aug-09-2023,6145.00,,,,,,,,,,,,,,,2.86mm
Aug-10-2023,6251.00,,,,,,,,,,,,,,,3.58mm
Aug-14-2023,6248.00,,,,,,,,,,,,,,,2.72mm
Aug-15-2023,6294.00,,,,,,,,,,,,,,,2.05mm
Aug-16-2023,6292.00,,,,,,,,,,,,,,,2.70mm
Aug-17-2023,6180.00,,,,,,,,,,,,,,,3.57mm
Aug-18-2023,6114.00,,,,,,,,,,,,,,,2.90mm
Aug-21-2023,6128.00,,,,,,,,,,,,,,,2.44mm
Aug-22-2023,6159.00,,,,,,,,,,,,,,,1.91mm
Aug-23-2023,6211.00,,,,,,,,,,,,,,,2.13mm
Aug-24-2023,6145.00,,,,,,,,,,,,,,,2.78mm
Aug-25-2023,6083.00,,,,,,,,,,,,,,,2.50mm
Aug-28-2023,6175.00,,,,,,,,,,,,,,,2.15mm
Aug-29-2023,6172.00,,,,,,,,,,,,,,,2.24mm
Aug-30-2023,6219.00,,,,,,,,,,,,,,,3.22mm
Aug-31-2023,6267.00,,,,,,,,,,,,,,,3.92mm
Sep-01-2023,6268.00,,,,,,,,,,,,,,,2.97mm
Sep-04-2023,6267.00,,,,,,,,,,,,,,,2.68mm
Sep-05-2023,6274.00,,,,,,,,,,,,,,,2.70mm
Sep-06-2023,6323.00,,,,,,,,,,,,,,,2.85mm
Sep-07-2023,6368.00,,,,,,,,,,,,,,,2.71mm
Sep-08-2023,6358.00,,,,,,,,,,,,,,,5.42mm
Sep-11-2023,6370.00,,,,,,,,,,,,,,,3.76mm
Sep-12-2023,6369.00,,,,,,,,,,,,,,,2.43mm
Sep-13-2023,6309.00,,,,,,,,,,,,,,,3.14mm
Sep-14-2023,6354.00,,,,,,,,,,,,,,,3.75mm
Sep-15-2023,6338.00,,,,,,,,,,,,,,,5.11mm
Sep-19-2023,6451.00,,,,,,,,,,,,,,,4.78mm
Sep-20-2023,6266.00,,,,,,,,,,,,,,,5.50mm
Sep-21-2023,6153.00,,,,,,,,,,,,,,,3.69mm
Sep-22-2023,6151.00,,,,,,,,,,,,,,,3.39mm
Sep-25-2023,6224.00,,,,,,,,,,,,,,,2.62mm
Sep-26-2023,6260.00,,,,,,,,,,,,,,,3.33mm
Sep-27-2023,6225.00,,,,,,,,,,,,,,,4.21mm
Sep-28-2023,6152.00,,,,,,,,,,6152,,,,,4.39mm
Sep-29-2023,6230.00,,,,,,,,,,,,,,,5.59mm
Oct-02-2023,6130.00,,,,,,,,,,,,,,,5.29mm
Oct-03-2023,6160.00,,,,,,,,,,,,,,,4.80mm
Oct-04-2023,6108.00,,,,,,,,,,,,,,,4.52mm
Oct-05-2023,6220.00,,,,,,,,,,,,,,,4.06mm
Oct-06-2023,6245.00,,,,,,,,,,,,,,,4.58mm
Oct-10-2023,6311.00,,,,,,,,,,,,,,,3.26mm
Oct-11-2023,6309.00,,,,,,,,,,,,,,,3.18mm
Oct-12-2023,6350.00,,,,,,,,,,,,,,,3.57mm
Oct-13-2023,6196.00,,,,,,,,,,,,,,,4.58mm
Oct-16-2023,6200.00,,,,,,,,,,,,,,,2.73mm
Oct-17-2023,6123.00,,,,,,,,,,,,,,,3.76mm
Oct-18-2023,6110.00,,,,,,,,,,,,,,,2.81mm
Oct-19-2023,6092.00,,,,,,,,,,,,,,,3.07mm
Oct-20-2023,6101.00,,,,,,,,,,,,,,,2.44mm
Oct-23-2023,6067.00,,,,,,,,,,,,,6067,,2.76mm
Oct-24-2023,6081.00,,,,,,,,,,,,,,,2.82mm
Oct-25-2023,6180.00,,,,,,,,,,,,,,,3.26mm
Oct-26-2023,6116.00,,,,,,,,,,,,,,,2.72mm
Oct-27-2023,6221.00,,,,,,,,,,,,,,,3.48mm
Oct-30-2023,6117.00,,,,,,,,,,,,,,,2.92mm
Oct-31-2023,6221.00,,,,,,,,,,,,,,,4.26mm
Nov-01-2023,6310.00,,,,,,,,,,,,,,,3.96mm
Nov-02-2023,6357.00,,,,,,,,,,,,,6357,,3.43mm
Nov-06-2023,6432.00,,,,,,,,,,,,,,,5.98mm
Nov-07-2023,6385.00,,,,,,,,,,,,,6385,,3.76mm
Nov-08-2023,6774.00,,,,,,,,,,,,,6774,,15.15mm
Nov-09-2023,7151.00,,,,,,,,,,,,,,,12.50mm
Nov-10-2023,6861.00,,,,,,,,,,,,,,,7.39mm
Nov-13-2023,7014.00,,,,,,,,,,,,,,,6.18mm
Nov-14-2023,7008.00,,,,,,,,,,,,,,,3.37mm
Nov-15-2023,6994.00,,,,,,,,,,,,,,,3.93mm
Nov-16-2023,7053.00,,,,,,,,,,,,,,,3.37mm
Nov-17-2023,6946.00,,,,,,,,,,,,,,,3.74mm
Nov-20-2023,6800.00,,,,,,,,,,,,,,,4.33mm
Nov-21-2023,6846.00,,,,,,,,,,,,,,,2.66mm
Nov-22-2023,6920.00,,,,,,,,,,,,,,,2.77mm
Nov-24-2023,6854.00,,,,,,,,,,,,,,,3.17mm
Nov-27-2023,6859.00,,,,,,,,,,,,,,,3.48mm
Nov-28-2023,6824.00,,,,,,,,,,,,,,,2.68mm
Nov-29-2023,6826.00,,,,,,,,,,,,,,,2.40mm
Nov-30-2023,6912.00,,,,,,,,,,,,,,,4.68mm
Dec-01-2023,6909.00,,,,,,,,,,,,,,,3.16mm
Dec-04-2023,6814.00,,,,,,,,,,,,,,,2.69mm
Dec-05-2023,6813.00,,,,,,,,,,,,,,,2.49mm
Dec-06-2023,6875.00,,,,,,,,,,,,,,,2.86mm
Dec-07-2023,6862.00,,,,,,,,,,,,,,,3.30mm
Dec-08-2023,6798.00,,,,,,,,,,,,,,,4.05mm
Dec-11-2023,6890.00,,,,,,,,,,,,,,,3.08mm
Dec-12-2023,6945.00,,,,,,,,,,,,,,,2.94mm
Dec-13-2023,6926.00,,,,,,,,,,,,,,,2.80mm
Dec-14-2023,6859.00,,,,,,,,,,,,,,,3.80mm
Dec-15-2023,6778.00,,,,,,,,,,,,,,,5.89mm
Dec-18-2023,6813.00,,,,,,,,,,,,,,,3.35mm
Dec-19-2023,6936.00,,,,,,,,,,,,,,,3.10mm
Dec-20-2023,6965.00,,,,,,,,,,,,,,,3.41mm
Dec-21-2023,6946.00,,,,,,,,,,,,,,,1.99mm
Dec-22-2023,6946.00,,,,,,,,,,,,,,,2.40mm
Dec-25-2023,6934.00,,,,,,,,,,,,,,,1.68mm
Dec-26-2023,6987.00,,,,,,,,,,,,,,,2.09mm
Dec-27-2023,7126.00,,,,,,,,,,,,,,,3.94mm
Dec-28-2023,7133.00,,,,,,,,,,,,,,,3.07mm
Dec-29-2023,7359.00,,,,,,,,,,,,,,,6.36mm
Jan-04-2024,7176.00,,,,,,,,,,,,,,,5.22mm
Jan-05-2024,7223.00,,,,,,,,,,,,,,,4.11mm
Jan-09-2024,7538.00,,,,,,,,,,,,,,,6.86mm
Jan-10-2024,7823.00,,,,,,,,,,,,,,,9.14mm
Jan-11-2024,7930.00,,,,,,,,,,,,,,,9.33mm
Jan-12-2024,8125.00,,,,,,,,,,,,,,,9.14mm
Jan-15-2024,8199.00,,,,,,,,,,,,,,,5.36mm
Jan-16-2024,8037.00,,,,,,,,,,,,,,,5.88mm
Jan-17-2024,7940.00,,,,,,,,,,,,,,,6.64mm
Jan-18-2024,8066.00,,,,,,,,,,,,,,,4.93mm
Jan-19-2024,8136.00,,,,,,,,,,,,,,,4.44mm
Jan-22-2024,8103.00,,,,,,,,,,,,,,,4.83mm
Jan-23-2024,8089.00,,,,,,,,,,,,,,,4.91mm
Jan-24-2024,7938.00,,,,,,,,,,,,,,,4.99mm
Jan-25-2024,7972.00,,,,,,,,,,,,,,,3.42mm
Jan-26-2024,7895.00,,,,,,,,,,,,,,,4.30mm
Jan-29-2024,8091.00,,,,,,,,,,,,,,,4.45mm
Jan-30-2024,8271.00,,,,,,,,,,,,,,,6.59mm
Jan-31-2024,8310.00,,,,,,,,,,,,,,,4.58mm
Feb-01-2024,8310.00,,,,,,,,,,,,,,,3.92mm
Feb-02-2024,8476.00,,,,,,,,,,,,,,,6.62mm
Feb-05-2024,8415.00,,,,,,,,,,,,,,,4.55mm
Feb-06-2024,8376.00,,,,,,,,,,,,,8376,,4.93mm
Feb-07-2024,8369.00,,,,,,,,,,,,,,,9.33mm
Feb-08-2024,8620.00,,,,,,,,,,,,,,,7.65mm
Feb-09-2024,8700.00,,,,,,,,,,,,,,,5.46mm
Feb-13-2024,8710.00,,,,,,,,,,,,,8710,,6.28mm
Feb-14-2024,8871.00,,,,,,,,,,,,,,,4.87mm
Feb-15-2024,8950.00,,,,,,,,,,,,,,,6.30mm
Feb-16-2024,8874.00,,,,,,,,,,,,,,,6.99mm
Feb-19-2024,8356.00,,,,,,,,,,,,,,,15.19mm
Feb-20-2024,8263.00,,,,,,,,,,,,,,,10.75mm
Feb-21-2024,8401.00,,,,,,,,,,,,,,,7.84mm
Feb-22-2024,8419.00,,,,,,,,,,,,,,,5.62mm
Feb-26-2024,8549.00,,,,,,,,,,,,,,,5.74mm
Feb-27-2024,8508.00,,,,,,,,,,,,,,,5.57mm
Feb-28-2024,8366.00,,,,,,,,,,,,,,,4.66mm
Feb-29-2024,8400.00,,,,,,,,,,,,,,,5.57mm
Mar-01-2024,8484.00,,,,,,,,,,,,,,,3.56mm
Mar-04-2024,8345.00,,,,,,,,,,,,,,,4.79mm
Mar-05-2024,8390.00,,,,,,,,,,,,,,,3.17mm
Mar-06-2024,8329.00,,,,,,,,,,,,,,,3.19mm
Mar-07-2024,8323.00,,,,,,,,,,,,,,,3.29mm
Mar-08-2024,8231.00,,,,,,,,,,,,,,,4.05mm
Mar-11-2024,8312.00,,,,,,,,,,,,,,,4.03mm
Mar-12-2024,8201.00,,,,,,,,,,,,,,,3.50mm
Mar-13-2024,8232.00,,,,,,,,,,,,,,,3.81mm
Mar-14-2024,8224.00,,,,,,,,,,,,,,,2.70mm
Mar-15-2024,8224.00,,,,,,,,,,,,,,,4.42mm
Mar-18-2024,8286.00,,,,,,,,,,,,,8286,,2.84mm
Mar-19-2024,8358.00,,,,,,,,,,,,,,,2.49mm
Mar-21-2024,8378.00,,,,,,,,,,,,,,,3.92mm
Mar-22-2024,8426.00,,,,,,,,,,,,,,,3.56mm
Mar-25-2024,8299.00,,,,,,,,,,,,,,,3.05mm
Mar-26-2024,8308.00,,,,,,,,,,,,,,,3.26mm
Mar-27-2024,8410.00,,,,,,,,,,,,,,,4.15mm
Mar-28-2024,8259.00,,,,,,,,,,8259,,,,,4.31mm
Mar-29-2024,8196.00,,,,,,,,,,,,,,,3.62mm
Apr-01-2024,8210.00,,,,,,,,,,,,,,,2.67mm
Apr-02-2024,8147.00,,,,,,,,,,,,,,,3.25mm
Apr-03-2024,7806.00,,,,,,,,,,,,,,,7.15mm
Apr-04-2024,7888.00,,,,,,,,,,,,,,,4.34mm
Apr-05-2024,7741.00,,,,,,,,,,,,,,,4.30mm
Apr-08-2024,7858.00,,,,,,,,,,,,,,,2.59mm
Apr-09-2024,7882.00,,,,,,,,,,,,,,,2.36mm
Apr-10-2024,7788.00,,,,,,,,,,,,,,,2.22mm
Apr-11-2024,7723.00,,,,,,,,,,,,,,,2.41mm
Apr-12-2024,7735.00,,,,,,,,,,,,,,,2.45mm
Apr-15-2024,7668.00,,,,,,,,,,,,,,,2.49mm
Apr-16-2024,7524.00,,,,,,,,,,,,,,,3.65mm
Apr-17-2024,7585.00,,,,,,,,,,,,,,,3.40mm
Apr-18-2024,7589.00,,,,,,,,,,,,,,,2.77mm
Apr-19-2024,7455.00,,,,,,,,,,,,,,,4.18mm
Apr-22-2024,7525.00,,,,,,,,,,,,,,,2.69mm
Apr-23-2024,7498.00,,,,,,,,,,,,,,,2.09mm
Apr-24-2024,7510.00,,,,,,,,,,,,,,,2.44mm
Apr-25-2024,7406.00,,,,,,,,,,,,,,,2.65mm
Apr-26-2024,7649.00,,,,,,,,,,,,,,,4.70mm
Apr-30-2024,7720.00,,,,,,,,,,,,,,,4.03mm
May-01-2024,7637.00,,,,,,,,,,,,,,,2.74mm
May-02-2024,7575.00,,,,,,,,,,,,,,,1.96mm
May-07-2024,7759.00,,,,,,,,,,,,,7759,,5.89mm
May-08-2024,7337.00,,,,,,,,,,,,,,,13.72mm
May-09-2024,7597.00,,,,,,,,,,,,,7597,,7.46mm
May-10-2024,7849.00,,,,,,,,,,,,,,,7.57mm
May-13-2024,8011.00,,,,,,,,,,,,,,,4.53mm
May-14-2024,8435.00,,,,,,,,,,,,,,,9.03mm
May-15-2024,8320.00,,,,,,,,,,,,,,,4.13mm
May-16-2024,8600.00,,,,,,,,,,,,,,,7.01mm
May-17-2024,8503.00,,,,,,,,,,,,,,,4.00mm
May-20-2024,8391.00,,,8391,,,,,,,,,,,,3.48mm
May-21-2024,8408.00,,,,,,,,,,,,,,,2.17mm
May-22-2024,8351.00,,,,,,,,,,,,,,,2.85mm
May-23-2024,8281.00,,,,,,,,,,,,,,,2.96mm
May-24-2024,8252.00,,,,,,,,,,,,,,,2.84mm
May-27-2024,8287.00,,,,,,,,,,,,,,,1.86mm
May-28-2024,8192.00,,,,,,,,,,,,,,,2.31mm
May-29-2024,8269.00,,,,,,,,,,,,,,,2.45mm
May-30-2024,8358.00,,,,,,,,,,,,,,,3.74mm
May-31-2024,8555.00,,,,,,,,,,,,,,,10.95mm
Jun-03-2024,8671.00,,,,,,,,,,,,,,,3.72mm
Jun-04-2024,8850.00,,,,,,,,,,,,,,,4.18mm
Jun-05-2024,8752.00,,,,,,,,,,,,,,,3.79mm
Jun-06-2024,8797.00,,,,,,,,,,,,,,,3.03mm
Jun-07-2024,8755.00,,,,,,,,,,,,,,,2.69mm
Jun-10-2024,8739.00,,,,,,,,,,,,,,,2.98mm
Jun-11-2024,8675.00,,,,,,,,,,,,,,,2.95mm
Jun-12-2024,8545.00,,,,,,,,,,,,,,,3.17mm
Jun-13-2024,8363.00,,,,,,,,,,,,,,,4.14mm
Jun-14-2024,8481.00,,,,,,,,,,,,,,,5.21mm
Jun-17-2024,8411.00,,,,,,,,,,,,,,,2.15mm
Jun-18-2024,8672.00,,,,,,,,,,,,,,,4.95mm
Jun-19-2024,8581.00,,,,,,,,,,,,,,,4.04mm
Jun-20-2024,8488.00,,,,,,,,,,,,,,,3.24mm
Jun-21-2024,8482.00,,,,,,,,,,,,,,,3.61mm
Jun-24-2024,8493.00,,,,,,,,,,,,,,,2.46mm
Jun-25-2024,8632.00,,,,,,,,,,,,,,,2.90mm
Jun-26-2024,8684.00,,,,,,,,,,,,,,,3.28mm
Jun-27-2024,8598.00,,,,,,,,,,,,,8598,,2.59mm
Jun-28-2024,8556.00,,,,,,,,,,,,,,,3.38mm
Jul-01-2024,8749.00,,,8749,,,,,,,,,,,,3.66mm
Jul-02-2024,8875.00,,,,,,,,,,,,,,,4.73mm
Jul-03-2024,8887.00,,,,,,,,,,,,,,,2.75mm
Jul-04-2024,8830.00,,,,,,,,,,,,,,,2.07mm
Jul-05-2024,8897.00,,,,,,,,,,,,,,,2.33mm
Jul-08-2024,8791.00,,,,,,,,,,,,,,,3.03mm
Jul-09-2024,8949.00,,,,,,,,,,,,,,,3.48mm
Jul-10-2024,9000.00,,,,,,,,,,,,,,,3.54mm
Jul-11-2024,9100.00,,,,,,,,,,,,,,,4.69mm
Jul-12-2024,8916.00,,,,,,,,,,,,,,,3.59mm
Jul-16-2024,8825.00,,,,,,,,,,,,,,,3.58mm
Jul-17-2024,8748.00,,,,,,,,,,,,,,,3.34mm
Jul-18-2024,8550.00,,,,,,,,,,,,,,,3.42mm
Jul-19-2024,8574.00,,,,,,,,,,,,,,,2.28mm
Jul-22-2024,8532.00,,,,,,,,,,,,,,,2.47mm
Jul-23-2024,8493.00,,,,,,,,,,,,,,,2.07mm
Jul-24-2024,8486.00,,,,,,,,,,,,,,,2.20mm
Jul-25-2024,8280.00,,,,,,,,,,,,,,,3.35mm
Jul-26-2024,8247.00,,,,,,,,,,,,,,,2.68mm
Jul-29-2024,8342.00,,,,,,,,,,,,,,,2.69mm
Jul-30-2024,8348.00,,,,,,,,,,,,,,,2.39mm
Jul-31-2024,8388.00,,,,,,,,,,,,,,,3.16mm
Aug-01-2024,8105.00,,,,,,,,,,,,,,,4.51mm
Aug-02-2024,7915.00,,,,,,,,,,,,,7915,,4.59mm
Aug-05-2024,6607.00,,,,,,,,,,,,,,,11.39mm
Aug-06-2024,7507.00,,,,,,,,,,,,,7507,,7.98mm
Aug-07-2024,7648.00,,,,,,,,,,,,,,,6.96mm
Aug-08-2024,7566.00,,,,,,,,,,,,,,,5.46mm
Aug-09-2024,7801.00,,,,,,,,,,,,,,,6.01mm
Aug-13-2024,7750.00,,,,,,,,,,,,,,,4.15mm
Aug-14-2024,7974.00,,,,,,,,,,,,,,,3.56mm
Aug-15-2024,7898.00,,,,,,,,,,,,,,,3.36mm
Aug-16-2024,8118.00,,,,,,,,,,,,,,,3.63mm
Aug-19-2024,8066.00,,,,,,,,,,,,,,,2.38mm
Aug-20-2024,8149.00,,,,,,,,,,,,,,,2.28mm
Aug-21-2024,8253.00,,,,,,,,,,,,,,,2.65mm
Aug-22-2024,8276.00,,,,,,,,,,,,,,,2.58mm
Aug-23-2024,8225.00,,,,,,,,,,,,,,,2.04mm
Aug-26-2024,8111.00,,,,,,,,,,,,,,,1.99mm
Aug-27-2024,8048.00,,,,,,,,,,,,,,,2.63mm
Aug-28-2024,7967.00,,,,,,,,,,,,,,,2.24mm
Aug-29-2024,7870.00,,,,,,,,,,,,,,,2.96mm
Aug-30-2024,7902.00,,,,,,,,,,,,,,,3.57mm
Sep-02-2024,7923.00,,,,,,,,,,,,,,,1.97mm
Sep-03-2024,7926.00,,,,,,,,,,,,,,,1.86mm
Sep-04-2024,7698.00,,,,,,,,,,,,,,,4.37mm
Sep-05-2024,7731.00,,,,,,,,,,,,,,,3.55mm
Sep-06-2024,7763.00,,,,,,,,,,,,,,,4.01mm
Sep-09-2024,7745.00,,,,,,,,,,,,,,,2.90mm
Sep-10-2024,7695.00,,,,,,,,,,,,,,,3.09mm
Sep-11-2024,7539.00,,,,,,,,,,,,,,,2.68mm
Sep-12-2024,7652.00,,,,,,,,,,,,,,,2.86mm
Sep-13-2024,7583.00,,,,,,,,,,,,,,,4.42mm
Sep-17-2024,7546.00,,,,,,,,,,,,,,,4.67mm
Sep-18-2024,7559.00,,,,,,,,,,,,,,,3.06mm
Sep-19-2024,7673.00,,,,,,,,,,,,,,,3.54mm
Sep-20-2024,7670.00,,,,,,,,,,,,,,,4.24mm
Sep-24-2024,7716.00,,,,,,,,,,,,,,,2.96mm
Sep-25-2024,7628.00,,,,,,,,,,,,,,,3.10mm
Sep-26-2024,7996.00,,,,,,,,,,,,,,,6.61mm
Sep-27-2024,8048.00,,,,,,,,,,8048,,,,,4.91mm
Sep-30-2024,7636.00,,,,,,,,,,,,,,,8.01mm
Oct-01-2024,7696.00,,,,,,,,,,,,,,,3.82mm
Oct-02-2024,7672.00,,,,,,,,,,,,,,,3.75mm
Oct-03-2024,7765.00,,,,,,,,,,,,,,,3.41mm
Oct-04-2024,7743.00,,,,,,,,,,,,,,,2.63mm
Oct-07-2024,8087.00,,,,,,,,,,,,,,,6.73mm
Oct-08-2024,8038.00,,,,,,,,,,,,,,,4.10mm
Oct-09-2024,7877.00,,,,,,,,,,,,,,,4.71mm
Oct-10-2024,7913.00,,,,,,,,,,,,,,,2.76mm
Oct-11-2024,7878.00,,,,,,,,,,,,,,,2.58mm
Oct-15-2024,7944.00,,,,,,,,,,,,,,,4.71mm
Oct-16-2024,7929.00,,,,,,,,,,,,,,,3.53mm
Oct-17-2024,7994.00,,,,,,,,,,,,,,,3.27mm
Oct-18-2024,8019.00,,,,,,,,,,,,,,,4.27mm
Oct-21-2024,8051.00,,,,,,,,,,,,,,,2.92mm
Oct-22-2024,8010.00,,,,,,,,,,,,,,,2.34mm
Oct-23-2024,8078.00,,,,,,,,,,,,,,,3.15mm
Oct-24-2024,8069.00,,,,,,,,,,,,,,,2.71mm
Oct-25-2024,8002.00,,,,,,,,,,,,,,,1.96mm
Oct-28-2024,8160.00,,,,,,,,,,,,,,,3.60mm
Oct-29-2024,8141.00,,,,,,,,,,,,,,,2.64mm
Oct-30-2024,8092.00,,,,,,,,,,,,,,,5.96mm
Oct-31-2024,8145.00,,,,,,,,,,,,,,,4.35mm
Nov-01-2024,7963.00,,,,,,,,,,,,,,,3.07mm
Nov-05-2024,7656.00,,,,,,,,,,,,,7656,,6.28mm
Nov-06-2024,8100.00,,,,,,,,,,,,,8100,,8.21mm
Nov-07-2024,8208.00,,,,,,,,,,,,,,,8.26mm
Nov-08-2024,8193.00,,,,,,,,,,,,,,,3.52mm
Nov-11-2024,8250.00,,,,,,,,,,,,,,,3.87mm
Nov-12-2024,8340.00,,,,,,,,,,,,,,,4.61mm
Nov-13-2024,8066.00,,,,,,,,,,,,,,,4.78mm
Nov-14-2024,8099.00,,,,,,,,,,,,,,,3.81mm
Nov-15-2024,8259.00,,,,,,,,,,,,,,,3.40mm
Nov-18-2024,8200.00,,,,,,,,,,,,,,,4.44mm
Nov-19-2024,8176.00,,,,,,,,,,,,,,,5.13mm
Nov-20-2024,8226.00,,,,,,,,,,,,,,,2.67mm
Nov-21-2024,8203.00,,,,,,,,,,,,,,,2.56mm
Nov-22-2024,8166.00,,,,,,,,,,,,,,,2.53mm
Nov-25-2024,8199.00,,,,,,,,,,,,,,,7.43mm
Nov-26-2024,8309.00,,,,,,,,,,,,,,,4.46mm
Nov-27-2024,8527.00,,,,,,,,,,,,,,,5.29mm
Nov-28-2024,8785.00,,,,,,,,,,,,,,,6.72mm
Nov-29-2024,8810.00,,,,,,,,,,,,,,,6.03mm
Dec-02-2024,8855.00,,,,,,,,,,,,,,,6.25mm
Dec-03-2024,8940.00,,,,,,,,,,,,,,,5.08mm
Dec-04-2024,9182.00,,,,,,,,,,,,,,,7.97mm
Dec-05-2024,9295.00,,,,,,,,,,,,,,,5.70mm
Dec-06-2024,9058.00,,,,,,,,,,,,,,,4.21mm
Dec-09-2024,9216.00,,,,,,,,,,,,,,,3.90mm
Dec-10-2024,9037.00,,,,,,,,,,,,,,,4.52mm
Dec-11-2024,9103.00,,,9103,,,,,,,,,,,,4.18mm
Dec-12-2024,9139.00,,,,,,,,,,,,,,,4.19mm
Dec-13-2024,9124.00,,,,,,,,,,,,,,,3.67mm
Dec-16-2024,9184.00,,,,,,,,,,,,,,,3.15mm
Dec-17-2024,9490.00,,,,,,,,,,,,,,,7.19mm
Dec-18-2024,9265.00,,,,,,,,,,,,,,,4.29mm
Dec-19-2024,9410.00,,,,,,,,,,,,,,,7.30mm
Dec-20-2024,9131.00,,,,,,,,,,,,,,,6.10mm
Dec-23-2024,9171.00,,,,,,,,,,,,,,,2.88mm
Dec-24-2024,9228.00,,,,,,,,,,,,,,,2.32mm
Dec-25-2024,9200.00,,,,,,,,,,,,,,,2.56mm
Dec-26-2024,9260.00,,,,,,,,,,,,,,,2.84mm
Dec-27-2024,9350.00,,,,,,,,,,,,,,,3.24mm
